,Nav_GPS1_UTC,Nav_GPS1_Latitude,Nav_GPS1_Longitude
4925,2023-02-04 10:10:15,5.75,85.518
4926,2023-02-04 10:11:15,5.75,85.522
4927,2023-02-04 10:12:15,5.75,85.526
4928,2023-02-04 10:13:15,5.75,85.53
4929,2023-02-04 10:14:14,5.751,85.534
4930,2023-02-04 10:15:15,5.751,85.538
4931,2023-02-04 10:16:15,5.751,85.542
4932,2023-02-04 10:17:15,5.751,85.546
4933,2023-02-04 10:18:14,5.751,85.55
4934,2023-02-04 10:19:15,5.752,85.554
4935,2023-02-04 10:20:15,5.752,85.558
4936,2023-02-04 10:21:14,5.752,85.562
4937,2023-02-04 10:22:15,5.752,85.566
4938,2023-02-04 10:23:14,5.752,85.57
4939,2023-02-04 10:24:15,5.752,85.574
4940,2023-02-04 10:25:14,5.752,85.578
4941,2023-02-04 10:26:15,5.753,85.583
4942,2023-02-04 10:27:14,5.753,85.587
4943,2023-02-04 10:28:14,5.753,85.591
4944,2023-02-04 10:29:15,5.753,85.595
4945,2023-02-04 10:30:15,5.753,85.599
4946,2023-02-04 10:31:14,5.753,85.603
4947,2023-02-04 10:32:14,5.753,85.607
4948,2023-02-04 10:33:16,5.754,85.611
4949,2023-02-04 10:34:15,5.754,85.615
4950,2023-02-04 10:35:14,5.754,85.619
4951,2023-02-04 10:36:15,5.754,85.623
4952,2023-02-04 10:37:14,5.754,85.627
4953,2023-02-04 10:38:15,5.754,85.631
4954,2023-02-04 10:39:15,5.754,85.635
4955,2023-02-04 10:40:15,5.754,85.639
4956,2023-02-04 10:41:15,5.755,85.643
4957,2023-02-04 10:42:15,5.755,85.647
4958,2023-02-04 10:43:15,5.755,85.651
4959,2023-02-04 10:44:14,5.755,85.655
4960,2023-02-04 10:45:15,5.755,85.659
4961,2023-02-04 10:46:15,5.755,85.663
4962,2023-02-04 10:47:14,5.755,85.667
4963,2023-02-04 10:48:14,5.756,85.671
4964,2023-02-04 10:49:15,5.756,85.675
4965,2023-02-04 10:50:14,5.756,85.679
4966,2023-02-04 10:51:15,5.756,85.683
4967,2023-02-04 10:52:15,5.757,85.688
4968,2023-02-04 10:53:15,5.757,85.692
4969,2023-02-04 10:54:14,5.757,85.695
4970,2023-02-04 10:55:14,5.758,85.7
4971,2023-02-04 10:56:14,5.758,85.704
4972,2023-02-04 10:57:14,5.758,85.708
